region,quarter,year,quarter_num,cpi,policy_rate,population_change,sales_volume,unemployment_rate,building_starts,mortgage_rate,gdp_change,household_income,price_index
Østfold,2005K1,2005,1,81.39999999999999,,433,,,420,,-1.1,,57.3
Østfold,2005K2,2005,2,82.3,,502,,,351,,4.7,,58.6
Østfold,2005K3,2005,3,82.46666666666667,,587,,,409,,4.6,,58.1
Østfold,2005K4,2005,4,82.96666666666667,,325,,,446,,3.3,,57.8
Østfold,2006K1,2006,1,83.23333333333333,,252,,4.1000000000000005,409,,5.0,,60.5
Østfold,2006K2,2006,2,84.26666666666667,,671,,3.8333333333333335,389,,-0.8,,63.6
Østfold,2006K3,2006,3,84.3,,778,,3.4333333333333336,512,,2.0,,64.9
Østfold,2006K4,2006,4,85.0,,433,,2.966666666666667,526,,3.6,,64.8
Østfold,2007K1,2007,1,84.06666666666666,,390,,2.8666666666666667,330,,2.4,,68.2
Østfold,2007K2,2007,2,84.53333333333333,,843,,2.6,456,,2.6,,72.0
Østfold,2007K3,2007,3,84.43333333333334,,1004,,2.6666666666666665,364,,3.4,,72.5
Østfold,2007K4,2007,4,86.16666666666667,,698,,2.6666666666666665,375,,3.6,,70.9
Østfold,2008K1,2008,1,87.03333333333335,,693,0.0,2.6666666666666665,398,,-0.2,,72.8
Østfold,2008K2,2008,2,87.26666666666667,,888,0.0,2.766666666666667,350,,4.4,,73.5
Østfold,2008K3,2008,3,88.39999999999999,,1143,0.0,3.0,264,,0.5,,71.9
Østfold,2008K4,2008,4,89.23333333333333,,402,0.0,3.266666666666667,260,,-0.2,,67.3
Østfold,2009K1,2009,1,89.16666666666667,,578,0.0,3.233333333333333,139,,1.7,,69.4
Østfold,2009K2,2009,2,90.0,,923,0.0,3.5,173,,-4.3,,73.0
Østfold,2009K3,2009,3,90.0,,699,0.0,3.4333333333333336,225,,-1.7,,73.9
Østfold,2009K4,2009,4,90.5,,878,0.0,3.6333333333333333,260,,-2.6,,73.1
Østfold,2010K1,2010,1,91.8,,592,0.0,4.033333333333333,193,,0.5,,75.8
Østfold,2010K2,2010,2,92.33333333333333,,961,0.0,4.033333333333333,201,,2.8,,78.6
Østfold,2010K3,2010,3,91.66666666666667,,1036,0.0,3.8333333333333335,189,,-1.5,,77.7
Østfold,2010K4,2010,4,92.56666666666666,,576,0.0,3.9,412,,1.3,,77.0
Østfold,2011K1,2011,1,93.06666666666666,,708,0.0,3.3666666666666667,393,,0.0,,79.4
Østfold,2011K2,2011,2,93.66666666666667,,1112,0.0,3.6,245,,-1.2,,83.5
Østfold,2011K3,2011,3,93.03333333333335,,1119,0.0,3.5666666666666664,209,,4.6,,83.3
Østfold,2011K4,2011,4,93.33333333333333,,586,0.0,3.6666666666666665,299,,1.4,,82.2
Østfold,2012K1,2012,1,93.83333333333333,,707,0.0,3.3666666666666667,293,,3.6,,85.0
Østfold,2012K2,2012,2,94.03333333333335,,1105,0.0,3.4,304,,4.9,,88.6
Østfold,2012K3,2012,3,93.36666666666667,,1079,0.0,3.3666666666666667,352,,0.8,,88.1
Østfold,2012K4,2012,4,94.46666666666665,,757,0.0,3.733333333333333,453,,1.8,,87.3
Østfold,2013K1,2013,1,95.0,,595,0.0,3.8333333333333335,265,,-2.9,,89.5
Østfold,2013K2,2013,2,95.86666666666667,,979,0.0,3.966666666666667,419,,2.8,,92.6
